EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-03-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HUNGARY, SZEGED KULTERULET (STAID: 851).
Blended and updated with sources: 259492 152448 912982 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
259492,20191201,  -51,    0
259492,20191202,    5,    0
259492,20191203,  -12,    0
259492,20191204,  -21,    0
259492,20191205,  -26,    0
259492,20191206,  -19,    0
259492,20191207,   -3,    0
259492,20191208,   -6,    0
259492,20191209,    7,    0
259492,20191210,   44,    0
259492,20191211,   12,    0
259492,20191212,   30,    0
259492,20191213,   25,    0
259492,20191214,   12,    0
259492,20191215,  -19,    0
259492,20191216,   35,    0
259492,20191217,   22,    0
259492,20191218,   16,    0
259492,20191219,   32,    0
259492,20191220,   20,    0
259492,20191221,   73,    0
259492,20191222,   51,    0
259492,20191223,   58,    0
259492,20191224,   53,    0
259492,20191225,   31,    0
259492,20191226,   31,    0
259492,20191227,   -3,    0
259492,20191228,    9,    0
259492,20191229,  -10,    0
259492,20191230,  -54,    0
259492,20191231,  -54,    0
259492,20200101,  -35,    0
259492,20200102,  -71,    0
259492,20200103,  -28,    0
259492,20200104,  -36,    0
259492,20200105,   -5,    0
259492,20200106,  -49,    0
259492,20200107,  -68,    0
259492,20200108,  -73,    0
259492,20200109,  -42,    0
259492,20200110,  -44,    0
259492,20200111,  -52,    0
259492,20200112,  -29,    0
259492,20200113,  -30,    0
259492,20200114,  -31,    0
259492,20200115,  -37,    0
259492,20200116,  -41,    0
259492,20200117,  -33,    0
259492,20200118,  -47,    0
259492,20200119,  -12,    0
259492,20200120,  -11,    0
259492,20200121,  -14,    0
259492,20200122,   -9,    0
259492,20200123,  -46,    0
259492,20200124,  -75,    0
259492,20200125,  -68,    0
259492,20200126,  -24,    0
259492,20200127,  -15,    0
259492,20200128,    9,    0
259492,20200129,   -4,    0
259492,20200130,    0,    0
259492,20200131,    6,    0
259492,20200201,   22,    0
259492,20200202,   59,    0
259492,20200203,   79,    0
259492,20200204,   51,    0
259492,20200205,   27,    0
259492,20200206,  -21,    0
259492,20200207,    2,    0
259492,20200208,  -45,    0
259492,20200209,  -58,    0
259492,20200210,   -1,    0
259492,20200211,   25,    0
259492,20200212,   15,    0
259492,20200213,   -2,    0
259492,20200214,   36,    0
259492,20200215,    7,    0
259492,20200216,   -9,    0
259492,20200217,   10,    0
259492,20200218,   45,    0
259492,20200219,  -21,    0
259492,20200220,   22,    0
259492,20200221,  -25,    0
259492,20200222,  -18,    0
259492,20200223,   17,    0
259492,20200224,   38,    0
259492,20200225,    7,    0
259492,20200226,   52,    0
259492,20200227,   26,    0
259492,20200228,   -2,    0
259492,20200229,  -39,    0
259492,20200301,   43,    0
259492,20200302,   71,    0
259492,20200303,  100,    0
259492,20200304,   58,    0
259492,20200305,  -11,    0
259492,20200306,   20,    0
259492,20200307,   64,    0
259492,20200308,   16,    0
259492,20200309,   20,    0
259492,20200310,    2,    0
259492,20200311,   13,    0
259492,20200312,   67,    0
259492,20200313,   57,    0
259492,20200314,   27,    0
259492,20200315,    6,    0
259492,20200316,  -19,    0
259492,20200317,  -18,    0
259492,20200318,   -7,    0
259492,20200319,    7,    0
259492,20200320,   22,    0
259492,20200321,   30,    0
259492,20200322,   22,    0
259492,20200323,  -41,    0
259492,20200324,   -1,    0
259492,20200325,   -2,    0
259492,20200326,   15,    0
259492,20200327,    0,    0
259492,20200328,   15,    0
259492,20200329,   23,    0
259492,20200330,   35,    0
259492,20200331,  -19,    0
259492,20200401,  -44,    0
259492,20200402,  -41,    0
259492,20200403,   -1,    0
259492,20200404,   12,    0
259492,20200405,   54,    0
259492,20200406,   35,    0
259492,20200407,    7,    0
259492,20200408,    3,    0
259492,20200409,   15,    0
259492,20200410,   58,    0
259492,20200411,   28,    0
259492,20200412,   15,    0
259492,20200413,   78,    0
259492,20200414,   48,    0
259492,20200415,  -16,    0
259492,20200416,   -6,    0
259492,20200417,   55,    0
259492,20200418,   85,    0
259492,20200419,  115,    0
259492,20200420,   69,    0
259492,20200421,   45,    0
259492,20200422,   18,    0
259492,20200423,   20,    0
259492,20200424,   33,    0
259492,20200425,   69,    0
259492,20200426,   31,    0
259492,20200427,   18,    0
259492,20200428,   96,    0
259492,20200429,  127,    0
259492,20200430,  128,    0
259492,20200501,  106,    0
259492,20200502,   85,    0
259492,20200503,   88,    0
259492,20200504,   51,    0
259492,20200505,   64,    0
259492,20200506,   83,    0
259492,20200507,   82,    0
259492,20200508,   54,    0
259492,20200509,   74,    0
259492,20200510,  109,    0
259492,20200511,  116,    0
259492,20200512,   96,    0
259492,20200513,   40,    0
259492,20200514,  162,    0
259492,20200515,   98,    0
259492,20200516,   85,    0
259492,20200517,  138,    0
259492,20200518,   95,    0
259492,20200519,  144,    0
259492,20200520,  148,    0
259492,20200521,   92,    0
259492,20200522,   66,    0
259492,20200523,  103,    0
259492,20200524,  121,    0
259492,20200525,   94,    0
259492,20200526,  106,    0
259492,20200527,   85,    0
259492,20200528,   75,    0
259492,20200529,  101,    0
259492,20200530,  120,    0
259492,20200531,   74,    0
259492,20200601,  109,    0
259492,20200602,  116,    0
259492,20200603,   74,    0
259492,20200604,   91,    0
259492,20200605,  155,    0
259492,20200606,  165,    0
259492,20200607,  133,    0
259492,20200608,  174,    0
259492,20200609,  161,    0
259492,20200610,  157,    0
259492,20200611,  136,    0
259492,20200612,  142,    0
259492,20200613,  148,    0
259492,20200614,  186,    0
259492,20200615,  177,    0
259492,20200616,  175,    0
259492,20200617,  173,    0
259492,20200618,  163,    0
259492,20200619,  155,    0
259492,20200620,  139,    0
259492,20200621,  150,    0
259492,20200622,  170,    0
259492,20200623,  183,    0
259492,20200624,  137,    0
259492,20200625,  138,    0
259492,20200626,  168,    0
259492,20200627,  186,    0
259492,20200628,  183,    0
259492,20200629,  196,    0
259492,20200630,  149,    0
259492,20200701,  149,    0
259492,20200702,  208,    0
259492,20200703,  190,    0
259492,20200704,  174,    0
259492,20200705,  160,    0
259492,20200706,  151,    0
259492,20200707,  144,    0
259492,20200708,   90,    0
259492,20200709,  123,    0
259492,20200710,  146,    0
259492,20200711,  199,    0
259492,20200712,  144,    0
259492,20200713,   96,    0
259492,20200714,  114,    0
259492,20200715,  101,    0
259492,20200716,  109,    0
259492,20200717,  148,    0
259492,20200718,  146,    0
259492,20200719,  148,    0
259492,20200720,  152,    0
259492,20200721,  159,    0
259492,20200722,  177,    0
259492,20200723,  169,    0
259492,20200724,  146,    0
259492,20200725,  173,    0
259492,20200726,  186,    0
259492,20200727,  165,    0
259492,20200728,  155,    0
259492,20200729,  175,    0
259492,20200730,  192,    0
259492,20200731,  201,    0
259492,20200801,  193,    0
259492,20200802,  142,    0
259492,20200803,  131,    0
259492,20200804,  189,    0
259492,20200805,  181,    0
259492,20200806,  181,    0
259492,20200807,  173,    0
259492,20200808,  196,    0
259492,20200809,  182,    0
259492,20200810,  181,    0
259492,20200811,  180,    0
259492,20200812,  183,    0
259492,20200813,  150,    0
259492,20200814,  187,    0
259492,20200815,  173,    0
259492,20200816,  154,    0
