EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-03-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HUNGARY, SZOMBATHELY (STAID: 2042).
Blended and updated with sources: 152453 912812 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
152453,19010101, -103,    0
152453,19010102, -122,    0
152453,19010103, -116,    0
152453,19010104, -123,    0
152453,19010105, -143,    0
152453,19010106, -123,    0
152453,19010107, -132,    0
152453,19010108,  -97,    0
152453,19010109, -167,    0
152453,19010110, -148,    0
152453,19010111,  -86,    0
152453,19010112,  -83,    0
152453,19010113, -102,    0
152453,19010114,  -66,    0
152453,19010115,  -84,    0
152453,19010116, -116,    0
152453,19010117, -142,    0
152453,19010118,  -42,    0
152453,19010119,  -90,    0
152453,19010120, -120,    0
152453,19010121,  -78,    0
152453,19010122,   17,    0
152453,19010123,  -22,    0
152453,19010124,  -28,    0
152453,19010125,  -17,    0
152453,19010126,    8,    0
152453,19010127,  -18,    0
152453,19010128,   10,    0
152453,19010129,  -17,    0
152453,19010130,  -25,    0
152453,19010131,  -86,    0
152453,19010201,  -96,    0
152453,19010202,  -73,    0
152453,19010203,  -12,    0
152453,19010204,  -18,    0
152453,19010205,   10,    0
152453,19010206,   18,    0
152453,19010207,    0,    0
152453,19010208,    0,    0
152453,19010209,  -20,    0
152453,19010210,  -34,    0
152453,19010211,  -30,    0
152453,19010212, -108,    0
152453,19010213, -146,    0
152453,19010214, -100,    0
152453,19010215, -135,    0
152453,19010216, -164,    0
152453,19010217, -125,    0
152453,19010218, -100,    0
152453,19010219, -100,    0
152453,19010220,  -77,    0
152453,19010221, -106,    0
152453,19010222, -123,    0
152453,19010223, -115,    0
152453,19010224,  -68,    0
152453,19010225,  -62,    0
152453,19010226,  -14,    0
152453,19010227,  -34,    0
152453,19010228,  -32,    0
152453,19010301,  -12,    0
152453,19010302,   31,    0
152453,19010303,   29,    0
152453,19010304,   25,    0
152453,19010305,   30,    0
152453,19010306,   10,    0
152453,19010307,    7,    0
152453,19010308,    5,    0
152453,19010309,   10,    0
152453,19010310,    0,    0
152453,19010311,   30,    0
152453,19010312,   10,    0
152453,19010313,   15,    0
152453,19010314,   50,    0
152453,19010315,   10,    0
152453,19010316,   56,    0
152453,19010317,   20,    0
152453,19010318,   25,    0
152453,19010319,   70,    0
152453,19010320,   55,    0
152453,19010321,   50,    0
152453,19010322,   -6,    0
152453,19010323,  -20,    0
152453,19010324,  -30,    0
152453,19010325,  -15,    0
152453,19010326,    5,    0
152453,19010327,   -5,    0
152453,19010328,  -20,    0
152453,19010329,  -11,    0
152453,19010330,  -55,    0
152453,19010331,    0,    0
152453,19010401,   65,    0
152453,19010402,   30,    0
152453,19010403,   40,    0
152453,19010404,   55,    0
152453,19010405,   72,    0
152453,19010406,   50,    0
152453,19010407,   45,    0
152453,19010408,   80,    0
152453,19010409,   80,    0
152453,19010410,   80,    0
152453,19010411,   70,    0
152453,19010412,   65,    0
152453,19010413,   35,    0
152453,19010414,    0,    0
152453,19010415,   50,    0
152453,19010416,   60,    0
152453,19010417,   40,    0
152453,19010418,   20,    0
152453,19010419,   20,    0
152453,19010420,    0,    0
152453,19010421,   55,    0
152453,19010422,   10,    0
152453,19010423,   -5,    0
152453,19010424,   50,    0
152453,19010425,   84,    0
152453,19010426,   40,    0
152453,19010427,   65,    0
152453,19010428,   65,    0
152453,19010429,   60,    0
152453,19010430,   40,    0
152453,19010501,   70,    0
152453,19010502,   80,    0
152453,19010503,   80,    0
152453,19010504,   80,    0
152453,19010505,   70,    0
152453,19010506,   40,    0
152453,19010507,  110,    0
152453,19010508,  101,    0
152453,19010509,   55,    0
152453,19010510,   65,    0
152453,19010511,  100,    0
152453,19010512,  125,    0
152453,19010513,   60,    0
152453,19010514,   50,    0
152453,19010515,   80,    0
152453,19010516,   65,    0
152453,19010517,   90,    0
152453,19010518,   90,    0
152453,19010519,   75,    0
152453,19010520,   95,    0
152453,19010521,  100,    0
152453,19010522,   75,    0
152453,19010523,   70,    0
152453,19010524,  115,    0
152453,19010525,  114,    0
152453,19010526,  125,    0
152453,19010527,  150,    0
152453,19010528,  120,    0
152453,19010529,  110,    0
152453,19010530,  115,    0
152453,19010531,  130,    0
152453,19010601,  145,    0
152453,19010602,  145,    0
152453,19010603,  140,    0
152453,19010604,  155,    0
152453,19010605,  150,    0
152453,19010606,  135,    0
152453,19010607,  130,    0
152453,19010608,  125,    0
152453,19010609,  110,    0
152453,19010610,  145,    0
152453,19010611,  155,    0
152453,19010612,  150,    0
152453,19010613,  145,    0
152453,19010614,  100,    0
152453,19010615,  135,    0
152453,19010616,  115,    0
152453,19010617,  100,    0
152453,19010618,   90,    0
152453,19010619,  100,    0
152453,19010620,  130,    0
152453,19010621,  130,    0
152453,19010622,  130,    0
152453,19010623,  135,    0
