EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-03-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HUNGARY, SZEGED BELTERULET (STAID: 26574).
Blended and updated with sources: 258920 259492 152448 912982 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
258920,20020101,  -62,    0
258920,20020102,  -64,    0
258920,20020103,  -84,    0
258920,20020104, -119,    0
258920,20020105, -109,    0
258920,20020106,  -55,    0
258920,20020107,  -83,    0
258920,20020108,  -13,    0
258920,20020109,  -24,    0
258920,20020110,  -17,    0
258920,20020111,  -28,    0
258920,20020112,  -30,    0
258920,20020113,  -33,    0
258920,20020114,  -36,    0
258920,20020115,  -42,    0
258920,20020116,  -52,    0
258920,20020117,  -40,    0
258920,20020118,  -34,    0
258920,20020119,  -26,    0
258920,20020120,  -26,    0
258920,20020121,    0,    0
258920,20020122,   27,    0
258920,20020123,   13,    0
258920,20020124,    3,    0
258920,20020125,   34,    0
258920,20020126,   15,    0
258920,20020127,    7,    0
258920,20020128,   63,    0
258920,20020129,   35,    0
258920,20020130,   40,    0
258920,20020131,   16,    0
258920,20020201,   53,    0
258920,20020202,   18,    0
258920,20020203,   -4,    0
258920,20020204,    4,    0
258920,20020205,    3,    0
258920,20020206,    4,    0
258920,20020207,   32,    0
258920,20020208,   31,    0
258920,20020209,   24,    0
258920,20020210,   17,    0
258920,20020211,   21,    0
258920,20020212,   47,    0
258920,20020213,   45,    0
258920,20020214,   64,    0
258920,20020215,   -8,    0
258920,20020216,  -18,    0
258920,20020217,   -1,    0
258920,20020218,   45,    0
258920,20020219,   47,    0
258920,20020220,    9,    0
258920,20020221,   62,    0
258920,20020222,   -6,    0
258920,20020223,   -6,    0
258920,20020224,   27,    0
258920,20020225,   -5,    0
258920,20020226,   34,    0
258920,20020227,   67,    0
258920,20020228,   92,    0
258920,20020301,   53,    0
258920,20020302,   67,    0
258920,20020303,   60,    0
258920,20020304,    4,    0
258920,20020305,   14,    0
258920,20020306,   58,    0
258920,20020307,   90,    0
258920,20020308,   72,    0
258920,20020309,   15,    0
258920,20020310,   77,    0
258920,20020311,   28,    0
258920,20020312,   15,    0
258920,20020313,   15,    0
258920,20020314,   34,    0
258920,20020315,   59,    0
258920,20020316,   93,    0
258920,20020317,   63,    0
258920,20020318,   28,    0
258920,20020319,   29,    0
258920,20020320,   76,    0
258920,20020321,   81,    0
258920,20020322,   79,    0
258920,20020323,   12,    0
258920,20020324,   -2,    0
258920,20020325,   32,    0
258920,20020326,   37,    0
258920,20020327,    3,    0
258920,20020328,    8,    0
258920,20020329,   22,    0
258920,20020330,   51,    0
258920,20020331,   41,    0
258920,20020401,   53,    0
258920,20020402,   67,    0
258920,20020403,   76,    0
