EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-03-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HUNGARY, DEBRECEN KISMACS (STAID: 26642).
Blended and updated with sources: 259519 152438 912882 259440 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
259519,20200131,    9,    0
259519,20200201,   10,    0
259519,20200202,   81,    0
259519,20200203,   69,    0
259519,20200204,   44,    0
259519,20200205,   11,    0
259519,20200206,  -31,    0
259519,20200207,    3,    0
259519,20200208,  -52,    0
259519,20200209,  -65,    0
259519,20200210,  -22,    0
259519,20200211,   16,    0
259519,20200212,    9,    0
259519,20200213,   -8,    0
259519,20200214,   30,    0
259519,20200215,    5,    0
259519,20200216,  -27,    0
259519,20200217,   -6,    0
259519,20200218,   -1,    0
259519,20200219,  -19,    0
259519,20200220,   25,    0
259519,20200221,  -20,    0
259519,20200222,  -26,    0
259519,20200223,   27,    0
259519,20200224,   57,    0
259519,20200225,   15,    0
259519,20200226,   66,    0
259519,20200227,   17,    0
259519,20200228,    1,    0
259519,20200229,  -36,    0
259519,20200301,   40,    0
259519,20200302,   62,    0
259519,20200303,   70,    0
259519,20200304,   46,    0
259519,20200305,    8,    0
259519,20200306,  -16,    0
259519,20200307,   55,    0
259519,20200308,   17,    0
259519,20200309,   13,    0
259519,20200310,    8,    0
259519,20200311,   32,    0
259519,20200312,   50,    0
259519,20200313,   75,    0
259519,20200314,   -5,    0
259519,20200315,  -10,    0
259519,20200316,  -25,    0
259519,20200317,  -37,    0
259519,20200318,  -10,    0
259519,20200319,    3,    0
259519,20200320,   17,    0
259519,20200321,   27,    0
259519,20200322,    2,    0
259519,20200323,  -38,    0
259519,20200324,  -14,    0
259519,20200325,    7,    0
259519,20200326,   25,    0
259519,20200327,   54,    0
259519,20200328,   20,    0
259519,20200329,   15,    0
259519,20200330,   15,    0
259519,20200331,  -42,    0
259519,20200401,  -46,    0
259519,20200402,  -77,    0
259519,20200403,  -49,    0
259519,20200404,   -6,    0
259519,20200405,   56,    0
259519,20200406,   54,    0
259519,20200407,  -16,    0
259519,20200408,   -4,    0
259519,20200409,   -1,    0
259519,20200410,   35,    0
259519,20200411,    9,    0
259519,20200412,   39,    0
259519,20200413,   53,    0
259519,20200414,   34,    0
259519,20200415,  -27,    0
259519,20200416,   17,    0
259519,20200417,   70,    0
259519,20200418,   81,    0
259519,20200419,   91,    0
259519,20200420,   48,    0
259519,20200421,   42,    0
259519,20200422,   40,    0
259519,20200423,   49,    0
259519,20200424,   15,    0
259519,20200425,   82,    0
259519,20200426,   23,    0
259519,20200427,   -1,    0
259519,20200428,   52,    0
259519,20200429,  111,    0
259519,20200430,  118,    0
259519,20200501,   95,    0
259519,20200502,   75,    0
259519,20200503,   92,    0
259519,20200504,   92,    0
259519,20200505,   67,    0
259519,20200506,   53,    0
259519,20200507,   91,    0
259519,20200508,   46,    0
259519,20200509,   94,    0
259519,20200510,   97,    0
259519,20200511,  140,    0
259519,20200512,   70,    0
259519,20200513,    2,    0
259519,20200514,   81,    0
259519,20200515,   84,    0
259519,20200516,   65,    0
259519,20200517,  105,    0
259519,20200518,   73,    0
259519,20200519,   90,    0
259519,20200520,  154,    0
259519,20200521,   89,    0
259519,20200522,   34,    0
259519,20200523,   55,    0
259519,20200524,  107,    0
259519,20200525,   96,    0
259519,20200526,   87,    0
259519,20200527,  111,    0
259519,20200528,  100,    0
259519,20200529,  118,    0
259519,20200530,   99,    0
259519,20200531,   98,    0
259519,20200601,  110,    0
259519,20200602,   59,    0
259519,20200603,   74,    0
259519,20200604,  102,    0
259519,20200605,  157,    0
259519,20200606,  162,    0
259519,20200607,  149,    0
259519,20200608,  155,    0
259519,20200609,  154,    0
259519,20200610,  149,    0
259519,20200611,  143,    0
259519,20200612,  162,    0
259519,20200613,  171,    0
259519,20200614,  158,    0
259519,20200615,  175,    0
259519,20200616,  164,    0
259519,20200617,  167,    0
259519,20200618,  153,    0
259519,20200619,  172,    0
259519,20200620,  156,    0
259519,20200621,  146,    0
259519,20200622,  178,    0
259519,20200623,  193,    0
259519,20200624,  168,    0
259519,20200625,  160,    0
259519,20200626,  170,    0
259519,20200627,  170,    0
259519,20200628,  195,    0
259519,20200629,  191,    0
259519,20200630,  165,    0
259519,20200701,  161,    0
259519,20200702,  169,    0
259519,20200703,  186,    0
259519,20200704,  180,    0
259519,20200705,  159,    0
259519,20200706,  161,    0
259519,20200707,  136,    0
259519,20200708,  107,    0
259519,20200709,  135,    0
259519,20200710,  152,    0
259519,20200711,  169,    0
259519,20200712,  121,    0
259519,20200713,  108,    0
259519,20200714,   97,    0
259519,20200715,  105,    0
259519,20200716,  105,    0
259519,20200717,  132,    0
259519,20200718,  151,    0
259519,20200719,  162,    0
259519,20200720,  162,    0
259519,20200721,  170,    0
259519,20200722,  169,    0
259519,20200723,  146,    0
259519,20200724,  140,    0
259519,20200725,  170,    0
259519,20200726,  176,    0
259519,20200727,  177,    0
259519,20200728,  156,    0
259519,20200729,  178,    0
259519,20200730,  183,    0
259519,20200731,  174,    0
259519,20200801,  152,    0
259519,20200802,  136,    0
259519,20200803,  121,    0
259519,20200804,  182,    0
259519,20200805,  183,    0
259519,20200806,  170,    0
259519,20200807,  188,    0
259519,20200808,  200,    0
259519,20200809,  191,    0
259519,20200810,  177,    0
259519,20200811,  167,    0
259519,20200812,  174,    0
259519,20200813,  144,    0
259519,20200814,  147,    0
259519,20200815,  158,    0
259519,20200816,  155,    0
259519,20200817,  188,    0
259519,20200818,  190,    0
259519,20200819,  179,    0
259519,20200820,  173,    0
259519,20200821,  146,    0
259519,20200822,  149,    0
259519,20200823,  169,    0
259519,20200824,  168,    0
259519,20200825,  156,    0
259519,20200826,  142,    0
259519,20200827,  150,    0
259519,20200828,  103,    0
259519,20200829,  151,    0
259519,20200830,  182,    0
259519,20200831,  190,    0
259519,20200901,  152,    0
259519,20200902,  137,    0
259519,20200903,  109,    0
259519,20200904,  110,    0
259519,20200905,  109,    0
259519,20200906,  124,    0
259519,20200907,  153,    0
259519,20200908,  125,    0
259519,20200909,   66,    0
259519,20200910,   86,    0
259519,20200911,  153,    0
259519,20200912,  133,    0
259519,20200913,  136,    0
259519,20200914,  151,    0
259519,20200915,  160,    0
259519,20200916,  142,    0
259519,20200917,  145,    0
259519,20200918,  108,    0
259519,20200919,   90,    0
259519,20200920,   72,    0
259519,20200921,   75,    0
259519,20200922,   88,    0
259519,20200923,   98,    0
259519,20200924,  145,    0
259519,20200925,  124,    0
259519,20200926,  124,    0
259519,20200927,   75,    0
259519,20200928,   68,    0
259519,20200929,   94,    0
259519,20200930,   96,    0
259519,20201001,  117,    0
259519,20201002,  127,    0
259519,20201003,  126,    0
259519,20201004,  136,    0
259519,20201005,  108,    0
259519,20201006,  122,    0
259519,20201007,  123,    0
259519,20201008,  125,    0
259519,20201009,   68,    0
259519,20201010,   54,    0
259519,20201011,   77,    0
259519,20201012,   90,    0
259519,20201013,   74,    0
259519,20201014,   61,    0
259519,20201015,   56,    0
259519,20201016,   79,    0
259519,20201017,   56,    0
259519,20201018,   55,    0
259519,20201019,   40,    0
259519,20201020,   51,    0
259519,20201021,   25,    0
259519,20201022,   38,    0
259519,20201023,   53,    0
259519,20201024,  108,    0
259519,20201025,  120,    0
259519,20201026,  119,    0
259519,20201027,  101,    0
259519,20201028,   47,    0
259519,20201029,   52,    0
259519,20201030,   73,    0
259519,20201031,   74,    0
259519,20201101,   -4,    0
259519,20201102,   73,    0
259519,20201103,   97,    0
259519,20201104,  103,    0
259519,20201105,   89,    0
259519,20201106,   26,    0
259519,20201107,   26,    0
259519,20201108,   10,    0
259519,20201109,   12,    0
259519,20201110,   21,    0
259519,20201111,   48,    0
259519,20201112,   50,    0
259519,20201113,   57,    0
259519,20201114,   63,    0
259519,20201115,   62,    0
259519,20201116,   31,    0
259519,20201117,   61,    0
259519,20201118,   31,    0
259519,20201119,   48,    0
259519,20201120,   52,    0
259519,20201121,    4,    0
259519,20201122,  -48,    0
259519,20201123,   -1,    0
259519,20201124,   -1,    0
259519,20201125,  -13,    0
259519,20201126,   -9,    0
259519,20201127,    1,    0
259519,20201128,    3,    0
259519,20201129,    2,    0
259519,20201130,    2,    0
259519,20201201,  -22,    0
259519,20201202,  -58,    0
259519,20201203,  -41,    0
259519,20201204,   10,    0
259519,20201205,   33,    0
259519,20201206,   44,    0
259519,20201207,   34,    0
259519,20201208,   24,    0
259519,20201209,   -5,    0
259519,20201210,   40,    0
259519,20201211,   12,    0
259519,20201212,   20,    0
259519,20201213,   23,    0
259519,20201214,   27,    0
259519,20201215,   36,    0
259519,20201216,   35,    0
259519,20201217,   33,    0
259519,20201218,   31,    0
259519,20201219,   35,    0
259519,20201220,   35,    0
259519,20201221,   32,    0
259519,20201222,   29,    0
259519,20201223,   39,    0
259519,20201224,   70,    0
259519,20201225,   40,    0
259519,20201226,    1,    0
259519,20201227,  -37,    0
259519,20201228,   20,    0
259519,20201229,   67,    0
259519,20201230,   50,    0
259519,20201231,   52,    0
259519,20210101,   33,    0
259519,20210102,   19,    0
259519,20210103,   16,    0
259519,20210104,   44,    0
259519,20210105,   47,    0
259519,20210106,   23,    0
259519,20210107,    9,    0
259519,20210108,  -24,    0
259519,20210109,  -56,    0
259519,20210110,  -42,    0
259519,20210111,  -18,    0
259519,20210112,   -9,    0
259519,20210113,  -30,    0
259519,20210114,  -47,    0
259519,20210115,  -43,    0
259519,20210116, -110,    0
259519,20210117,  -85,    0
259519,20210118,  -87,    0
259519,20210119,  -79,    0
