year,PRCP,RD,Tmean,Tmin,Tmax,Tvar,FD,HD,GDD,Heat_Stress,Cold_Stress
1901,1243.92,247.2,10.239561643835618,5.900054794520548,14.76690410958904,8.866849315068492,104.0,28.8,3020.04,3.0,181.4
1902,1323.16,253.0,9.542191780821918,5.303835616438356,13.948054794520548,8.644219178082192,97.4,21.6,2447.8599999999997,3.0,179.4
1903,1246.74,253.2,10.685917808219179,6.337095890410959,15.377589041095892,9.040493150684933,50.8,21.8,2725.32,2.3333333333333335,125.6
1904,1088.92,234.6,10.664699453551913,6.260437158469946,15.16983606557377,8.909398907103824,94.8,47.4,2935.4,13.0,171.0
1905,1259.76,253.6,10.376821917808218,5.949394216133942,15.090904109589042,9.141509893455101,92.6,64.6,3074.88,19.5,168.0
1906,1488.04,257.6,10.431123287671232,6.108931506849315,15.035397260273973,8.926465753424658,84.6,30.6,2858.86,6.0,183.6
1907,946.9,235.0,10.120876712328768,5.632109589041096,14.798246575342466,9.166136986301371,115.2,24.6,3031.54,0.0,207.4
1908,1099.16,220.4,9.588579234972679,5.164754098360656,14.199071038251367,9.034316939890711,130.8,35.4,2828.44,5.0,225.8
1909,1201.96,251.6,10.245260273972603,5.831068493150685,14.887835616438355,9.05676712328767,120.4,24.6,2955.3199999999997,2.5,184.6
1910,1413.8200000000002,263.0,10.95068493150685,6.541479452054794,15.529753424657537,8.988273972602743,41.2,27.8,2709.4,3.0,131.6
1911,1019.8,235.0,10.930246575342466,6.146356164383562,15.835506849315067,9.689150684931505,68.0,45.4,3054.2400000000002,6.5,165.4
1912,1435.12,294.8,9.458852459016393,5.114043715846995,14.060983606557377,8.946939890710382,80.6,19.0,2293.68,0.0,177.4
1913,1155.52,235.2,9.93841095890411,5.497643835616438,14.777698630136987,9.280054794520549,111.4,8.25,2475.7,0.0,199.8
1914,1338.3,244.4,9.46805479452055,5.101534246575342,14.16586301369863,9.064328767123287,123.4,12.75,2468.18,0.0,173.4
1915,1744.6,327.6,10.09035616438356,5.972054794520548,14.51408219178082,8.542027397260274,72.2,15.0,2463.6,0.0,160.2
1916,1298.88,295.4,11.124153005464482,6.576557377049181,15.858306010928962,9.28174863387978,42.6,20.8,2642.08,2.0,122.6
1917,900.7,246.6,10.107561643835616,4.859945205479453,15.52854794520548,10.668602739726026,133.8,66.6,3097.4199999999996,8.75,211.0
1918,1263.3400000000001,266.4,10.552,5.822068493150685,15.63490410958904,9.812835616438356,90.6,34.8,2794.02,4.0,180.2
1919,1526.1599999999999,313.0,9.817808219178081,5.647397260273973,14.316273972602739,8.668876712328766,73.2,14.0,2350.98,0.0,145.2
1920,1235.6,242.0,10.436502732240436,6.099803154495778,15.266775956284153,9.166972801788376,82.4,22.4,2821.16,0.0,185.4
1921,864.0,204.0,10.535835616438357,5.61824596481856,15.958465753424658,10.340219788606099,83.0,50.4,2831.18,13.8,197.6
1922,1372.8600000000001,263.4,9.612547945205481,5.244767123287671,14.247287671232877,9.002520547945206,118.6,50.8,2775.56,7.75,206.0
1923,1120.6799999999998,277.6,11.106794520547945,6.554356164383561,16.023835616438355,9.469479452054793,72.4,41.2,3026.7,3.3333333333333335,130.4
1924,1152.66,233.0,9.811584699453551,5.526994535519126,14.403661202185793,8.876666666666667,158.8,30.6,3017.7400000000002,5.0,228.4
1925,1374.16,260.0,10.552054794520547,5.774027397260275,15.39698630136986,9.622958904109586,91.0,26.75,2819.1,0.0,181.4
1926,1242.08,276.2,11.177369863013698,6.70345205479452,15.87090410958904,9.16745205479452,49.2,14.0,2917.12,0.0,139.0
1927,1338.58,270.4,10.940328767123287,6.400383561643835,16.077260273972605,9.67687671232877,92.8,74.6,3147.9,9.0,180.8
1928,944.4,245.6,10.57655737704918,5.703005464480874,15.83016393442623,10.127158469945355,97.0,80.2,3000.2400000000002,16.0,192.4
1929,1096.5,223.8,9.655671232876713,4.859013698630138,14.826630136986301,9.967616438356163,140.8,66.8,3076.3,6.75,211.0
1930,1181.96,249.4,11.351945205479453,6.776438356164384,16.45364383561644,9.677205479452056,78.0,65.0,3131.4,6.0,148.8
1931,1207.48,262.6,10.040657534246574,5.459068493150685,14.968657534246574,9.50958904109589,118.0,71.0,3012.06,13.75,236.6
1932,1117.94,223.4,10.124590163934426,5.516338797814208,14.881967213114754,9.365628415300545,161.8,66.4,3320.88,2.0,228.8
1933,1354.66,274.0,9.436054794520548,5.061479452054795,14.043287671232875,8.981808219178081,115.6,33.4,2541.9,8.666666666666666,196.0
1934,978.6200000000001,227.2,11.951561643835616,7.324219178082191,16.86728767123288,9.543068493150688,71.4,33.4,3511.7400000000002,2.0,137.0
1935,1051.48,257.8,10.557863013698631,5.6966027397260275,15.67276712328767,9.976164383561642,106.8,49.2,3196.88,4.2,188.6
1936,1436.8200000000002,282.8,11.109562841530055,6.783715846994535,15.742677595628416,8.958961748633882,59.6,41.4,2956.94,4.75,123.0
1937,1670.6,298.0,11.15090410958904,6.939013698630137,15.739452054794521,8.800438356164385,83.4,33.6,3240.64,0.0,145.6
1938,1149.98,271.2,10.803945205479451,6.144054794520548,15.78646575342466,9.642410958904112,56.2,52.8,3032.66,7.333333333333333,160.6
1939,1310.16,269.4,11.016109589041097,6.413260273972602,15.839342465753424,9.426082191780822,64.2,47.6,3157.88,8.25,162.4
1940,1635.54,308.4,8.374699453551912,4.046120218579235,12.935956284153004,8.88983606557377,179.6,10.75,2664.08,0.0,233.6
1941,1414.96,318.0,9.521863013698631,5.266082191780822,14.04668493150685,8.780602739726028,98.2,15.6,2443.62,0.0,173.4
1942,1102.7199999999998,237.8,9.675616438356164,5.042849315068493,14.562246575342465,9.519397260273973,145.6,59.6,3197.82,4.0,216.8
1943,1133.5800000000002,221.4,11.064712328767124,5.945808219178082,16.2586301369863,10.312821917808218,78.0,56.0,3283.6400000000003,11.75,184.8
1944,1499.9599999999998,275.8,10.639890710382513,6.119836065573771,15.14551912568306,9.02568306010929,85.2,34.4,3085.92,0.0,174.8
1945,1106.3,238.8,11.159945205479453,6.37172602739726,15.939287671232876,9.567561643835615,104.0,52.4,3362.0,4.8,165.8
1946,945.76,219.2,11.454575342465754,6.1506849315068495,16.829534246575342,10.678849315068494,106.8,98.4,3720.4,30.5,169.2
1947,921.5799999999999,260.2,11.033534246575343,5.949643835616438,16.470520547945206,10.520876712328768,113.4,85.8,3611.9199999999996,10.5,188.0
1948,1106.02,261.2,10.898251366120219,6.1651366120218585,16.12765027322404,9.962513661202184,98.2,45.8,3094.02,5.5,169.0
1949,1111.3,246.6,11.1213698630137,6.1147397260273975,16.508602739726026,10.393863013698628,64.2,42.2,2971.04,4.0,165.0
1950,1175.8200000000002,263.4,11.494191780821918,6.445205479452055,16.676328767123287,10.231123287671233,63.8,82.4,3430.22,19.6,145.8
1951,1244.56,268.8,11.580931506849314,7.084712328767123,16.54241095890411,9.457698630136987,34.8,46.8,3111.1400000000003,2.5,114.2
1952,1341.6,292.8,10.835300546448087,6.036338797814208,15.786721311475409,9.7503825136612,85.8,83.6,3342.0199999999995,15.0,189.6
1953,986.2,203.2,10.619890410958904,5.729315068493151,15.84931506849315,10.119999999999997,107.0,31.6,3042.0,0.0,200.8
1954,1252.8,277.6,9.57813698630137,5.094191780821918,14.389479452054795,9.295287671232877,125.0,34.6,2832.84,2.25,175.4
1955,1505.28,280.6,9.957424657534247,5.6825753424657535,14.592712328767124,8.91013698630137,85.0,8.0,2626.88,0.0,177.0
1956,1073.6399999999999,244.2,9.065573770491802,4.485136612021858,14.056010928961749,9.570874316939891,147.0,25.6,2810.04,4.0,232.0
1957,996.0799999999999,230.2,10.520931506849315,6.05013698630137,15.441041095890409,9.390904109589039,97.0,41.8,2860.82,8.0,171.8
1958,1014.5,260.8,10.631616438356165,6.283671232876712,15.551232876712328,9.267561643835617,95.8,44.8,3089.38,5.0,173.0
1959,1072.02,226.4,10.561260273972604,6.102630136986301,15.475890410958906,9.373260273972605,79.6,17.8,2708.2200000000003,2.5,152.2
1960,1203.6799999999998,275.0,10.507267759562842,6.270601092896174,15.282185792349727,9.011584699453554,71.4,17.2,2670.38,2.0,119.4
1961,843.68,208.2,11.067616438356165,6.312767123287671,16.35660273972603,10.043835616438358,83.0,38.2,3041.12,6.25,140.2
1962,951.3,249.6,9.669643835616437,5.31495890410959,14.526520547945205,9.211561643835616,137.2,46.6,2768.8599999999997,1.0,216.4
1963,1223.88,259.4,9.652438356164385,5.080821917808219,14.680876712328768,9.600054794520549,173.8,54.2,3268.68,2.0,208.2
1964,1217.22,257.8,9.588743169398906,5.240382513661202,14.287103825136612,9.046721311475409,148.2,37.8,2853.3,0.0,197.2
1965,1518.5,314.6,9.445041095890412,5.270301369863014,14.268657534246575,8.998356164383562,123.0,19.8,2444.94,0.0,201.0
1966,1323.48,302.4,10.747287671232877,6.571397260273973,15.664219178082192,9.09282191780822,83.6,16.5,2966.4,0.0,140.4
1967,1071.22,248.8,10.619397260273974,6.0410958904109595,15.903506849315068,9.862410958904109,116.6,49.4,3107.58,0.0,175.8
1968,1014.9,250.6,10.450874316939892,5.822404371584699,15.626775956284154,9.804371584699457,108.4,36.0,3006.9199999999996,3.2,185.4
1969,1293.2199999999998,293.2,9.787397260273973,5.479178082191781,14.676219178082192,9.197041095890413,121.4,21.6,2829.3599999999997,0.0,193.2
1970,1394.5,324.4,9.939835616438355,5.877589041095891,14.636986301369863,8.759397260273971,101.2,25.0,2658.2799999999997,0.0,176.0
1971,813.08,248.4,10.368602739726027,5.698191780821918,15.570301369863014,9.872109589041095,99.8,42.4,2886.84,1.6666666666666667,165.4
1972,1235.22,265.4,10.385136612021858,6.154699453551912,15.353169398907102,9.198469945355189,78.6,32.4,2689.42,0.0,139.4
1973,848.8399999999999,230.8,10.206630136986302,5.6895342465753425,15.292986301369861,9.60345205479452,85.0,33.8,2922.14,0.0,200.6
