year,Tmean,PRCP,RD,FD,HD,Heat_Stress,Sunshine,Rain_Intensity,Dry_Index,Temp_Index
1901,9.6,605,186,106,11,3,,3.25268817204301,,105.6
1902,8.8,622,176,113,13,0,,3.53409090909091,,114.4
1903,10.1,627,173,89,12,2,,3.6242774566474,,121.2
1904,10,523,162,105,25,2,,3.2283950617284,,250
1905,9.7,640,175,112,30,8,,3.65714285714286,,291
1906,9.8,675,175,115,14,0,,3.85714285714286,,137.2
1907,9.3,494,159,121,13,0,,3.10691823899371,,120.9
1908,8.9,527,155,135,17,1,,3.4,,151.3
1909,9.5,608,172,108,12,0,,3.53488372093023,,114
1910,10.3,719,180,86,11,0,,3.99444444444444,,113.3
1911,10.4,504,152,95,22,4,,3.31578947368421,,228.8
1912,8.8,706,188,107,7,0,,3.75531914893617,,61.6
1913,9.3,651,158,111,3,0,,4.12025316455696,,27.9
1914,8.9,684,161,96,5,0,,4.24844720496894,,44.5
1915,9.6,824,201,90,7,0,,4.09950248756219,,67.2
1916,10.6,655,186,66,10,1,,3.52150537634409,,106
1917,9.6,457,156,112,28,4,,2.92948717948718,,268.8
1918,10.1,626,176,102,15,0,,3.55681818181818,,151.5
1919,9.4,709,207,88,6,0,,3.42512077294686,,56.4
1920,10.1,590,163,104,13,0,,3.61963190184049,,131.3
1921,10.2,466,135,107,25,9,,3.45185185185185,,255
1922,8.9,674,161,118,19,2,,4.18633540372671,,169.1
1923,10.4,605,162,76,14,1,,3.73456790123457,,145.6
1924,9.1,577,148,128,9,1,,3.89864864864865,,81.9
1925,9.8,717,163,104,5,0,,4.39877300613497,,49
1926,10.5,678,164,83,3,0,,4.13414634146341,,31.5
1927,10.3,670,159,98,27,4,,4.21383647798742,,278.1
1928,9.9,535,143,108,35,7,,3.74125874125874,,346.5
1929,9,569,140,115,30,5,,4.06428571428571,,270
1930,10.7,667,153,91,21,2,,4.35947712418301,,224.7
1931,9.3,603,155,133,29,3,,3.89032258064516,,269.7
1932,9.5,517,131,123,30,3,,3.94656488549618,,285
1933,8.8,671,162,110,15,3,,4.14197530864198,,132
1934,11.3,512,139,79,15,0,,3.68345323741007,,169.5
1935,9.9,511,154,110,21,2,,3.31818181818182,,207.9
1936,10.4,730,172,75,16,3,,4.24418604651163,,166.4
1937,10.5,795,186,84,14,0,,4.2741935483871,,147
1938,10.1,601,160,98,24,6,,3.75625,,242.4
1939,10.3,669,157,93,20,5,,4.26114649681529,,206
1940,7.6,838,181,130,2,0,,4.62983425414365,,15.2
1941,8.8,675,181,105,6,1,,3.7292817679558,,52.8
1942,8.9,533,147,123,24,0,,3.62585034013605,,213.6
1943,10.2,575,139,113,24,6,,4.13669064748201,,244.8
1944,9.9,782,175,105,13,0,,4.46857142857143,,128.7
1945,10.4,552,156,101,22,3,,3.53846153846154,,228.8
1946,10.7,493,144,101,41,11,,3.42361111111111,,438.7
1947,10.3,470,159,107,36,4,,2.9559748427673,,370.8
1948,10.3,610,150,99,16,3,,4.06666666666667,,164.8
1949,10.4,579,138,96,17,0,,4.19565217391304,,176.8
1950,10.8,628,148,90,36,9,,4.24324324324324,,388.8
1951,11,695,152,80,21,1,,4.57236842105263,,231
1952,10.2,717,163,117,36,11,,4.39877300613497,,367.2
1953,10.1,544,119,112,11,0,,4.57142857142857,,111.1
1954,9,679,156,99,14,0,,4.3525641025641,,126
1955,9.5,759,165,106,3,0,,4.6,,28.5
1956,8.6,580,140,129,12,1,,4.14285714285714,,103.2
1957,10.1,602,132,99,19,8,,4.56060606060606,,191.9
1958,10.2,610,145,101,21,3,,4.20689655172414,,214.2
1959,10.1,595,131,93,9,2,,4.54198473282443,,90.9
1960,10.2,701,160,71,7,0,,4.38125,,71.4
1961,10.6,477,115,83,19,4,2190,4.14782608695652,4.581589958159,201.4
1962,9.3,552,140,121,20,2,1950,3.94285714285714,3.52622061482821,186
1963,9.2,655,145,116,24,7,2118,4.51724137931035,3.22865853658537,220.8
1964,9.2,658,143,107,17,1,1924,4.6013986013986,2.9195751138088,156.4
1965,9,808,167,118,8,0,1969,4.83832335329341,2.43386897404203,72
1966,10.8,738,157,82,6,0,1965,4.70063694267516,2.65899864682003,64.8
1967,10.6,528,131,100,23,8,2182,4.03053435114504,4.12476370510397,243.8
1968,10.5,522,132,107,17,9,2010,3.95454545454545,3.84321223709369,178.5
1969,9.8,665,151,109,10,2,1847,4.40397350993378,2.77327327327327,98
1970,9.8,698,170,105,10,0,1719,4.10588235294118,2.45922746781116,98
1971,10.1,441,131,95,19,2,1929,3.36641221374046,4.36425339366516,191.9
1972,10,639,146,80,15,1,1754,4.37671232876712,2.740625,150
1973,9.7,493,124,116,14,0,1983,3.9758064516129,4.01417004048583,135.8
1974,10.3,731,158,67,16,4,1774,4.62658227848101,2.42349726775956,164.8
1975,10.5,607,133,98,5,0,1945,4.56390977443609,3.19901315789474,52.5
