year,PRCP,RD,Tmean,FD,HD
1901,1243.92,247.2,10.239561643835618,104.0,0.0
1902,1323.16,253.0,9.542191780821918,97.4,0.0
1903,1246.74,253.2,10.685917808219179,50.8,0.0
1904,1088.92,234.6,10.664699453551913,94.8,0.0
1905,1259.76,253.6,10.376821917808218,92.6,0.0
1906,1488.04,257.6,10.431123287671232,84.6,0.0
1907,946.9,235.0,10.120876712328768,115.2,0.0
1908,1099.16,220.4,9.588579234972679,130.8,0.0
1909,1201.96,251.6,10.245260273972603,120.4,0.0
1910,1413.8200000000002,263.0,10.95068493150685,41.2,0.0
1911,1019.8,235.0,10.930246575342466,68.0,0.0
1912,1435.12,294.8,9.458852459016393,80.6,0.0
1913,1155.52,235.2,9.93841095890411,111.4,0.0
1914,1338.3,244.4,9.46805479452055,123.4,0.0
1915,1744.6,327.6,10.09035616438356,72.2,0.0
1916,1298.88,295.4,11.124153005464482,42.6,0.0
1917,900.7,246.6,10.107561643835616,133.8,0.0
1918,1263.3400000000001,266.4,10.552,90.6,0.0
1919,1526.1599999999999,313.0,9.817808219178081,73.2,0.0
1920,1235.6,242.0,10.436502732240436,82.4,0.0
1921,864.0,204.0,10.535835616438357,83.0,8.0
1922,1372.8600000000001,263.4,9.612547945205481,118.6,2.0
1923,1120.6799999999998,277.6,11.106794520547945,72.4,0.0
1924,1152.66,233.0,9.811584699453551,158.8,0.0
1925,1374.16,260.0,10.552054794520547,91.0,0.0
1926,1242.08,276.2,11.177369863013698,49.2,0.0
1927,1338.58,270.4,10.940328767123287,92.8,0.0
1928,944.4,245.6,10.57655737704918,97.0,3.3333333333333335
1929,1096.5,223.8,9.655671232876713,140.8,0.0
1930,1181.96,249.4,11.351945205479453,78.0,0.0
1931,1207.48,262.6,10.040657534246574,118.0,2.6666666666666665
1932,1117.94,223.4,10.124590163934426,161.8,0.0
1933,1354.66,274.0,9.436054794520548,115.6,2.0
1934,978.6200000000001,227.2,11.951561643835616,71.4,0.0
1935,1051.48,257.8,10.557863013698631,106.8,0.0
1936,1436.8200000000002,282.8,11.109562841530055,59.6,2.0
1937,1670.6,298.0,11.15090410958904,83.4,0.0
1938,1149.98,271.2,10.803945205479451,56.2,0.0
1939,1310.16,269.4,11.016109589041097,64.2,2.0
1940,1635.54,308.4,8.374699453551912,179.6,0.0
1941,1414.96,318.0,9.521863013698631,98.2,0.0
1942,1102.7199999999998,237.8,9.675616438356164,145.6,0.0
1943,1133.5800000000002,221.4,11.064712328767124,78.0,2.0
1944,1499.9599999999998,275.8,10.639890710382513,85.2,0.0
1945,1106.3,238.8,11.159945205479453,104.0,4.0
1946,945.76,219.2,11.454575342465754,106.8,11.0
