year,PRCP,RD,Tmean,Tmin,Tmax,Tvar,FD,HD,GDD,Heat_Stress,Cold_Stress,Maize_sown_area,Maize_production,Maize_avg_yield,Yield_computed
1921,864.0,143.4,10.535835616438357,5.61824596481856,15.958465753424658,10.3402197886061,83.0,50.4,2830.26,13.8,197.6,876974,805295,920,0.9182655358083592
1922,1372.86,192.0,9.61254794520548,5.244767123287671,14.247287671232876,9.002520547945206,118.6,50.8,2775.36,7.75,206.0,989459,1237674,1250,1.250859307965262
1923,1120.6799999999998,186.0,11.106794520547943,6.554356164383561,16.023835616438355,9.469479452054792,72.4,41.2,3026.7,3.333333333333333,130.4,995177,1250942,1260,1.2570045328619934
1924,1152.66,156.8,9.811584699453553,5.526994535519126,14.403661202185791,8.876666666666667,158.8,30.6,3017.74,5.0,228.4,1003343,1882807,1880,1.8765337476815007
1925,1374.16,191.2,10.552054794520547,5.774027397260275,15.39698630136986,9.622958904109586,91.0,26.75,2819.1,0.0,181.4,1082099,2234548,2070,2.065012535821584
1926,1242.08,178.8,11.177369863013698,6.70345205479452,15.87090410958904,9.16745205479452,49.2,14.0,2917.12,0.0,139.0,1079762,1944321,1800,1.8006940418351451
1927,1338.58,188.6,10.940328767123289,6.400383561643835,16.077260273972605,9.67687671232877,92.8,74.6,3147.9,9.0,180.8,1067854,1736111,1630,1.6257943501639738
1928,944.4,161.4,10.57655737704918,5.703005464480874,15.83016393442623,10.127158469945355,97.0,80.2,2998.24,16.0,192.4,1069668,1259700,1180,1.177655122897946
1929,1096.5,162.4,9.655671232876712,4.859013698630138,14.8266301369863,9.967616438356163,140.8,66.8,3076.3,6.75,211.0,1124721,1794137,1600,1.5951840500888665
1930,1181.96,176.8,11.351945205479453,6.776438356164384,16.45364383561644,9.677205479452056,78.0,65.0,3131.4,6.0,148.8,1075255,1407065,1310,1.3085872653463597
1931,1207.48,186.0,10.040657534246574,5.459068493150685,14.968657534246574,9.50958904109589,118.0,71.0,3011.06,13.75,236.6,1112420,1517690,1360,1.3643138382984843
1932,1117.94,151.4,10.124590163934426,5.516338797814208,14.881967213114754,9.365628415300543,161.8,66.4,3320.88,2.0,228.8,1178114,2432038,2060,2.064348611424701
1933,1354.66,188.0,9.436054794520548,5.061479452054795,14.043287671232877,8.981808219178081,115.6,33.4,2541.86,8.666666666666666,196.0,1151256,1809319,1570,1.5716044042332895
1934,978.62,144.8,11.951561643835616,7.324219178082191,16.86728767123288,9.543068493150688,71.4,33.4,3511.74,2.0,137.0,1136687,2098134,1850,1.845832669855466
1935,1051.48,169.6,10.557863013698633,5.696602739726028,15.67276712328767,9.976164383561642,106.8,49.2,3196.88,4.2,188.6,1178974,1418338,1200,1.2030273780422638
1936,1436.8200000000002,189.2,11.109562841530057,6.783715846994535,15.742677595628416,8.958961748633882,59.6,41.4,2956.62,4.75,123.0,1141469,2593098,2270,2.2717200379510962
1937,1670.6,207.6,11.15090410958904,6.939013698630137,15.73945205479452,8.800438356164385,83.4,33.6,3240.64,0.0,145.6,1204187,2758738,2290,2.290954810174832
1938,1149.98,166.4,10.803945205479453,6.144054794520548,15.78646575342466,9.642410958904112,56.2,52.8,3032.66,7.333333333333333,160.6,1175254,2662041,2270,2.2650771662976683
1939,1310.16,175.4,11.016109589041095,6.413260273972602,15.839342465753424,9.426082191780822,64.2,47.6,3157.16,8.25,162.4,1186129,2185324,1840,1.842399941321728
1940,1635.54,218.6,8.374699453551912,4.046120218579235,12.935956284153004,8.88983606557377,179.6,10.75,2664.08,0.0,233.6,1206839,2378854,1970,1.9711444525740385
1941,1414.96,203.2,9.521863013698631,5.266082191780822,14.04668493150685,8.780602739726028,98.2,15.6,2443.62,0.0,173.4,1142705,1806187,1580,1.5806240455760674
1942,1102.7199999999998,153.6,9.675616438356164,5.042849315068493,14.562246575342463,9.519397260273973,145.6,59.6,3197.82,4.0,216.8,1112292,1443915,1300,1.2981438327345698
1943,1133.5800000000002,152.2,11.064712328767124,5.945808219178082,16.2586301369863,10.312821917808218,78.0,56.0,3283.4800000000005,11.75,184.8,1064778,1246223,1170,1.1704064133556478
1944,1499.9599999999998,197.8,10.639890710382511,6.119836065573771,15.14551912568306,9.02568306010929,85.2,34.4,3085.92,0.0,174.8,1049024,2296873,2190,2.18953331858947
1945,1106.3,157.2,11.159945205479453,6.37172602739726,15.939287671232876,9.567561643835615,104.0,52.4,3360.96,4.8,165.8,1297924,1871147,1440,1.441646043990249
1946,945.76,138.4,11.454575342465754,6.1506849315068495,16.829534246575342,10.678849315068494,106.8,98.4,3715.92,30.5,169.2,1263768,1363545,1080,1.0789519911882561
1947,921.58,167.8,11.033534246575345,5.949643835616438,16.470520547945206,10.520876712328768,113.4,85.8,3611.88,10.5,188.0,1328945,1780647,1340,1.339895180011212
1948,1106.02,170.6,10.89825136612022,6.1651366120218585,16.12765027322404,9.962513661202184,98.2,45.8,3093.38,5.5,169.0,1337564,2861710,2140,2.139493885900039
1949,1111.3,163.4,11.1213698630137,6.1147397260273975,16.508602739726026,10.393863013698628,64.2,42.2,2971.04,4.0,165.0,1135038,1668316,1470,1.469832728067254
1950,1175.8200000000002,172.4,11.494191780821918,6.445205479452055,16.676328767123287,10.231123287671233,63.8,82.4,3425.62,19.6,145.8,1151508,1805163,1570,1.5676512885711607
1951,1244.56,177.6,11.580931506849314,7.084712328767123,16.54241095890411,9.457698630136989,34.8,46.8,3111.1400000000003,2.5,114.2,1153384,2832680,2460,2.455973032398577
1952,1341.6,195.6,10.835300546448089,6.036338797814208,15.786721311475407,9.7503825136612,85.8,83.6,3340.56,15.0,189.6,1053619,1171780,1110,1.112147749803297
