year,Tmean,PRCP,RD,FD,HD,Heat_Stress,Sunshine,Rain_Intensity,Dry_Index,Temp_Index,Maize_sown_area,Maize_production,Maize_avg_yield,Yield_computed
1921,10.2,466,135,107,25,9,0.0,3.45185185185185,0.0,255.0,876974,805295,920,0.9182655358083592
1922,8.9,674,161,118,19,2,0.0,4.18633540372671,0.0,169.1,989459,1237674,1250,1.250859307965262
1923,10.4,605,162,76,14,1,0.0,3.73456790123457,0.0,145.6,995177,1250942,1260,1.2570045328619934
1924,9.1,577,148,128,9,1,0.0,3.89864864864865,0.0,81.9,1003343,1882807,1880,1.8765337476815007
1925,9.8,717,163,104,5,0,0.0,4.39877300613497,0.0,49.0,1082099,2234548,2070,2.065012535821584
1926,10.5,678,164,83,3,0,0.0,4.13414634146341,0.0,31.5,1079762,1944321,1800,1.8006940418351451
1927,10.3,670,159,98,27,4,0.0,4.21383647798742,0.0,278.1,1067854,1736111,1630,1.6257943501639738
1928,9.9,535,143,108,35,7,0.0,3.74125874125874,0.0,346.5,1069668,1259700,1180,1.177655122897946
1929,9.0,569,140,115,30,5,0.0,4.06428571428571,0.0,270.0,1124721,1794137,1600,1.5951840500888665
1930,10.7,667,153,91,21,2,0.0,4.35947712418301,0.0,224.7,1075255,1407065,1310,1.3085872653463597
1931,9.3,603,155,133,29,3,0.0,3.89032258064516,0.0,269.7,1112420,1517690,1360,1.3643138382984843
1932,9.5,517,131,123,30,3,0.0,3.94656488549618,0.0,285.0,1178114,2432038,2060,2.064348611424701
1933,8.8,671,162,110,15,3,0.0,4.14197530864198,0.0,132.0,1151256,1809319,1570,1.5716044042332895
1934,11.3,512,139,79,15,0,0.0,3.68345323741007,0.0,169.5,1136687,2098134,1850,1.845832669855466
1935,9.9,511,154,110,21,2,0.0,3.31818181818182,0.0,207.9,1178974,1418338,1200,1.2030273780422638
1936,10.4,730,172,75,16,3,0.0,4.24418604651163,0.0,166.4,1141469,2593098,2270,2.2717200379510962
1937,10.5,795,186,84,14,0,0.0,4.2741935483871,0.0,147.0,1204187,2758738,2290,2.290954810174832
