year,Tmean,PRCP,RD,FD,HD,Heat_Stress,Sunshine,Rain_Intensity,Dry_Index,Temp_Index,Oats_sown_area,Oats_production,Oats_avg_yield
1921.0,10.2,466.0,135.0,107.0,25.0,9.0,0.0,3.451851851851852,0.0,255.0,358116,318806,890
1921.0,11.8,405.0,109.0,58.0,28.0,17.0,2238.0,3.7155963302752295,5.512315270935961,330.40000000000003,358116,318806,890
1922.0,8.9,674.0,161.0,118.0,19.0,2.0,0.0,4.186335403726708,0.0,169.1,328109,327362,1000
1922.0,10.4,546.0,143.0,80.0,24.0,7.0,1905.0,3.8181818181818175,3.482632541133455,249.6,328109,327362,1000
1923.0,10.5,605.0,162.0,76.0,14.0,1.0,0.0,3.734567901234568,0.0,147.0,327194,398558,1220
1923.0,11.8,524.0,137.0,44.0,21.0,3.0,2020.0,3.824817518248176,3.847619047619048,247.8,327194,398558,1220
1924.0,9.2,578.0,148.0,128.0,9.0,1.0,0.0,3.905405405405405,0.0,82.8,297158,228072,770
1924.0,10.5,572.0,126.0,101.0,7.0,3.0,1794.0,4.53968253968254,3.130890052356021,73.5,297158,228072,770
1925.0,9.9,718.0,163.0,104.0,5.0,0.0,0.0,4.404907975460123,0.0,49.5,296231,370593,1250
1925.0,11.2,569.0,136.0,68.0,10.0,0.0,2017.0,4.1838235294117645,3.5385964912280703,112.0,296231,370593,1250
1926.0,12.0,552.0,128.0,37.0,3.0,0.0,1939.0,4.3125,3.5063291139240507,36.0,278883,360007,1290
1926.0,10.5,679.0,164.0,83.0,3.0,0.0,0.0,4.140243902439025,0.0,31.5,278883,360007,1290
1927.0,10.3,670.0,159.0,98.0,27.0,4.0,0.0,4.213836477987422,0.0,278.1,261422,326782,1250
1927.0,11.5,498.0,135.0,74.0,31.0,10.0,2098.0,3.688888888888889,4.204408817635271,356.5,261422,326782,1250
1928.0,11.6,368.0,121.0,66.0,43.0,13.0,2272.0,3.041322314049587,6.157181571815718,498.8,265224,399590,1510
